"Total Parent 
Response Rate %",Total Teacher Response Rate %,Total Student Response Rate %,Collaborative Teachers Score,Effective School Leadership Score,Rigorous Instruction Score,Strong Family-Community Ties Score,Trust Score,DBN,School Name
64.0,93.0,92.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.16,03M241,STEM INSTITUTE OF MANHATTAN
70.0,100.0,97.0,4.28,4.01,4.47,4.7,4.26,03M242,P.S. 242 - THE YOUNG DIPLOMATS MAGNET ACADEMY
65.0,94.0,95.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,4.42,03M243,M.S. 243 CENTER SCHOOL
54.0,100.0,92.0,3.84,4.04,3.58,4.06,4.65,03M245,M.S. M245 THE COMPUTER SCHOOL
51.0,100.0,97.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.9,03M247,M.S. M247 DUAL LANGUAGE MIDDLE SCHOOL
75.0,100.0,98.0,3.81,4.55,4.82,4.57,4.18,03M250,M.S. 250 WEST SIDE COLLABORATIVE MIDDLE SCHOOL
17.0,81.0,59.0,2.3,2.66,1.76,2.55,1.95,03M256,LAFAYETTE ACADEMY
63.0,93.0,96.0,4.72,4.06,4.03,3.48,4.27,03M258,COMMUNITY ACTION SCHOOL - MS 258
58.0,100.0,78.0,2.98,2.57,3.99,3.98,2.32,03M291,WEST END SECONDARY SCHOOL
80.0,100.0,98.0,3.99,2.63,4.76,4.32,3.57,03M299,THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY
97.0,100.0,81.0,4.57,4.2,4.28,3.16,3.51,03M307,"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE"
33.0,83.0,71.0,4.28,4.1,3.47,3.24,3.76,03M333,P.S. 333 MANHATTAN SCHOOL FOR CHILDREN
43.0,100.0,69.0,3.67238184079602,3.6148569651741296,3.69,3.7368447204968986,3.88,03M334,THE ANDERSON SCHOOL
